signal,lag1_corr,lag5_corr,lag10_corr,mean,std
K0,0.9243701970360252,0.8053384289287497,0.6936252009837139,0.6197962798937112,0.43385991865559564
K1,0.8843074000931693,0.5370757650232798,0.2242127050504604,0.4712134632418069,0.48189593586614266
K10,0.855891914697463,0.573235387665575,0.25930314965353013,0.5124003542958371,0.4952824814295774
K11,0.853350576953173,0.6387044366951867,0.42002693706519495,0.5518157661647476,0.49406650177727457
K12,0.9840448594489809,0.9200774118277709,0.8397846056382643,0.491585473870682,0.500039929288923
K13,0.9471209674762383,0.7354301222283496,0.4704207681425834,0.41186891054030117,0.48548351773170817
K14,0.976520475464173,0.8860610429413377,0.7844168152176372,0.43135518157661645,0.49537517865910025
K15,0.9824074893323133,0.9118753409634143,0.8233418681175009,0.3963684676705049,0.48925097210552587
K16,0.9321189613852019,0.7206892164336549,0.47654515137883763,0.4977856510186005,0.4746516238752894
K17,0.9540823267698239,0.7953358574471283,0.6405282783611523,0.5717449069973428,0.44071543572766625
K18,0.9271751730767277,0.7871563120262448,0.6498922243773727,0.5518157661647476,0.47532725725350183
K19,0.8921411846623006,0.7002059191320915,0.4985032991480718,0.3755535872453499,0.46165819966374155
K2,0.8470272267084986,0.39859678617888267,0.09591109162665376,0.5055358724534986,0.43555982625612266
K20,0.6857565869561205,0.40709731119389736,0.34765981654683964,0.5617803365810452,0.4430988287267606
K21,0.8337408699353666,0.49022366605734186,0.2503344750876754,0.5659875996457041,0.4894400368697783
K22,0.8920959167720548,0.7343279198951064,0.6176896828438443,0.5670947741364039,0.4896288783462025
K23,0.8314493243508814,0.32392547687975815,-0.008031943674622004,0.5263507528786536,0.11174320639452821
K3,0.9598788625099183,0.7991402492693583,0.6305612573231458,0.5841452612931798,0.4929778944439702
K4,0.9456729240867586,0.7277794209410722,0.45408147047705866,0.6603188662533215,0.4737058579785165
K5,0.9462384261865214,0.8216898190623524,0.7204054137854458,0.5059787422497786,0.47286553141647436
K6,0.9409982476999172,0.7492757237176758,0.5197682248297127,0.47475642161204606,0.49880722417634693
K7,0.9793809381436451,0.8966092955264531,0.8010995203413079,0.38352524357838796,0.48635212225681823
K8,0.9773076164943566,0.8936097528198388,0.8013251292560025,0.4229406554472985,0.49413560176548255
K9,0.9590915681867614,0.8520778818072225,0.7293321323249203,0.5296722763507529,0.49922933850642703
